location,date,total_cases,new_cases,new_cases_smoothed
India,01-01-2022,34889132,27553,14618.571
India,02-01-2022,34922882,33750,18507
India,03-01-2022,34960261,37379,22938.571
India,04-01-2022,35018358,58097,29924.571
India,05-01-2022,35109286,90928,41035.143
India,06-01-2022,35226386,117100,55368.857
India,07-01-2022,35368372,141986,72399
India,08-01-2022,35528004,159632,91267.429
India,09-01-2022,35707727,179723,112120.714
India,10-01-2022,35875790,168063,130789.857
India,11-01-2022,36070510,194720,150307.429
India,12-01-2022,36317927,247417,172663
India,13-01-2022,36582129,264202,193677.571
India,14-01-2022,36850962,268833,211798.571
India,15-01-2022,37122164,271202,227737.143
India,16-01-2022,37380253,258089,238932.286
India,17-01-2022,37618271,238018,248925.857
India,18-01-2022,37901241,282970,261533
India,19-01-2022,38218773,317532,271549.429
India,20-01-2022,38566027,347254,283414
India,21-01-2022,38903731,337704,293252.714
India,22-01-2022,39237264,333533,302157.143
India,23-01-2022,39543328,306064,309010.714
India,24-01-2022,39799202,255874,311561.571
India,25-01-2022,40085116,285914,311982.143
India,26-01-2022,40371500,286384,307532.429
India,27-01-2022,40622709,251209,293811.714
India,28-01-2022,40858241,235532,279215.714
India,29-01-2022,41092522,234281,265036.857
India,30-01-2022,41302440,209918,251301.714
India,31-01-2022,41469499,167059,238613.857
India,01-02-2022,41630885,161386,220824.143
India,02-02-2022,41803318,172433,204545.429
India,03-02-2022,41952712,149394,190000.429
India,04-02-2022,42080664,127952,174631.857
India,05-02-2022,42188138,107474,156516.571
India,06-02-2022,42272014,83876,138510.571
India,07-02-2022,42339611,67597,124301.714
India,08-02-2022,42410976,71365,111441.571
India,09-02-2022,42478060,67084,96391.714
India,10-02-2022,42536137,58077,83346.429
India,11-02-2022,42586544,50407,72268.571
India,12-02-2022,42631421,44877,63326.143
India,13-02-2022,42665534,34113,56217.143
India,14-02-2022,42692943,27409,50476
India,15-02-2022,42723558,30615,44654.571
India,16-02-2022,42754315,30757,39465
India,17-02-2022,42780235,25920,34871.143
India,18-02-2022,42802505,22270,30851.571
India,19-02-2022,42822473,19968,27293.143
India,20-02-2022,42838524,16051,24712.857
India,21-02-2022,42851929,13405,22712.286
India,22-02-2022,42867031,15102,20496.143
India,23-02-2022,42881179,14148,18123.429
India,24-02-2022,42894345,13166,16301.429
India,25-02-2022,42905844,11499,14762.714
India,26-02-2022,42916117,10273,13377.714
India,27-02-2022,42924130,8013,12229.429
India,28-02-2022,42931045,6915,11302.286
India,01-03-2022,42938599,7554,10224
India,02-03-2022,42945160,6561,9140.143
India,03-03-2022,42951556,6396,8173
India,04-03-2022,42957477,5921,7376.143
India,05-03-2022,42962953,5476,6690.857
India,06-03-2022,42967315,4362,6169.286
India,07-03-2022,42971308,3993,5751.857
India,08-03-2022,42975883,4575,5326.286
